entity,rdf:type,title,date,theme,hasAuthor,isRealisedThrough,typeOfRedaction,language,hasCreator,name,personDate,enjambment,enjambmentOn,lineNumber,metre,numberOfSyllables,redactionUri,stanzaNumber,text
https://summer-school.uned.es/resources/Linea#7c2bea99-931f-4665-bc3b-50c9eb56c973,summerOnto:Linea,,,,,,,,,,,,,16.0,-+----+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,4.0,¿Qué presta a mi contento
https://summer-school.uned.es/resources/Linea#40ca4c69-0ccf-4684-b2b6-2f24f6e9bb0e,summerOnto:Linea,,,,,,,,,,,,,17.0,-+-+-+---+-,11.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,4.0,si soy del vano dedo señalado;
https://summer-school.uned.es/resources/Linea#a629ed4c-67e3-4df2-81c1-30f057ad628d,summerOnto:Linea,,,,,,,,,,,,,18.0,--+-+-+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,4.0,"si, en busca deste viento,"
https://summer-school.uned.es/resources/Linea#60aef15d-c417-4cbb-bcc9-952fc4718f58,summerOnto:Linea,,,,,,,,,,,,,19.0,+----+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,4.0,ando desalentado
https://summer-school.uned.es/resources/Linea#dd52ef52-cd8c-4e01-a502-5c35510b96df,summerOnto:Linea,,,,,,,,,,,,,20.0,-+-+---+-+-,11.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,4.0,"con ansias vivas, con mortal cuidado?"
https://summer-school.uned.es/resources/Linea#42a2a690-aa40-4bde-9425-5c9d984ce281,summerOnto:Linea,,,,,,,,,,,,,21.0,++--+-++-,9.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,5.0,"¡Oh monte, oh fuente, oh río,!"
https://summer-school.uned.es/resources/Linea#f0ec397a-2823-4992-8bbb-928d24a6481f,summerOnto:Linea,,,,,,,,,,,,,22.0,+-+--+---+-,11.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,5.0,"¡Oh secreto seguro, deleitoso!"
https://summer-school.uned.es/resources/Linea#f5178a02-27e9-4e82-be7f-3ecec35b9a31,summerOnto:Linea,,,,,,,,,,,,,23.0,+-+---+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,5.0,"Roto casi el navío,"
https://summer-school.uned.es/resources/Linea#5228e9ad-c191-47df-a499-08d3a8a84146,summerOnto:Linea,,,,,,,,,,,,,24.0,-+-+--+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,5.0,a vuestro almo reposo
https://summer-school.uned.es/resources/Linea#37c48e47-2edb-48da-b09a-5e58c96c2f42,summerOnto:Linea,,,,,,,,,,,,,25.0,+---+-+--+-,11.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,5.0,huyo de aqueste mar tempestuoso.
https://summer-school.uned.es/resources/Linea#7eb9e6a7-e0d3-4e23-92e3-c19ecd875428,summerOnto:Linea,,,,,,,,,,,,,26.0,++-+-+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,6.0,"Un no rompido sueño,"
https://summer-school.uned.es/resources/Linea#6c183b7a-50bf-4b06-8b12-4e543ea5e078,summerOnto:Linea,,,,,,,,,,,,,27.0,++-+--+-+-+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,6.0,"un día puro, alegre, libre quiero;"
https://summer-school.uned.es/resources/Linea#0aca5d09-8673-47ec-9cac-818f49f2b6ee,summerOnto:Linea,,,,,,,,,,,,,28.0,++-+-+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,6.0,no quiero ver el ceño
https://summer-school.uned.es/resources/Linea#49cddc03-d8fb-4adf-a5d9-0820625bac51,summerOnto:Linea,,,,,,,,,,,,,29.0,--+--+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,6.0,vanamente severo
https://summer-school.uned.es/resources/Linea#b90b2d4f-0e97-4248-b2ef-4760acaed588,summerOnto:Linea,,,,,,,,,,,,,30.0,----+--+-+--+-,14.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,6.0,de a quien la sangre ensalza o el dinero.
https://summer-school.uned.es/resources/Linea#e0a80be2-4057-4590-ab71-a32a1aaafb5c,summerOnto:Linea,,,,,,,,,,,,,31.0,-+---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,7.0,Despiértenme las aves
